"Surname","CreditScore","Geography","Gender","Age","Tenure","Balance","NumOfProducts","HasCrCard","IsActiveMember","EstimatedSalary","Exited","Satisfaction.Score","Card.Type","Point.Earned"
"Lawrence",809,"France","Male","38",3,0,2,1,1,80061.31,0,3,"DIAMOND",533
"Duncan",675,"France","Male","54",2,0,1,1,0,149583.67,1,5,"SILVER",752
"Bocharova",607,"Spain","Female","27",5,100912.19,1,0,0,7631.27,0,4,"GOLD",908
"Morres",850,"France","Female","31",4,0,2,1,1,33082.81,0,1,"PLATINUM",898
"Shih",789,"France","Male","37",3,0,1,1,0,121883.87,1,4,"SILVER",259
"Vogel",598,"France","Female","43",5,0,3,1,1,100722.72,1,1,"SILVER",858
"T'an",756,"Germany","Male","41",2,124439.49,2,0,1,47093.11,0,4,"PLATINUM",938
"Wisdom",687,"France","Female","47",7,0,2,1,1,177624.01,0,1,"DIAMOND",517
"Lorenzo",724,"France","Male","40",6,0,2,0,0,106149.48,0,3,"PLATINUM",437
"Shahan",700,"France","Female","44",2,58781.76,1,1,0,16874.92,0,3,"PLATINUM",785
"Bryant",635,"Spain","Male","50",7,159453.64,2,0,0,54560.79,1,3,"SILVER",997
"Liang",687,"Germany","Male","26",2,142721.52,1,1,1,153605.75,0,5,"GOLD",334
"Chidozie",613,"France","Female","46",8,167795.6,1,0,1,44390.38,0,2,"DIAMOND",411
"Hayward",781,"France","Female","38",3,128345.69,2,1,0,63218.85,0,2,"SILVER",608
"Liu",703,"Spain","Male","20",3,165260.98,1,1,1,41626.78,0,5,"GOLD",751
"Alexeeva",593,"Germany","Female","62",3,118233.81,1,0,1,24765.53,1,3,"DIAMOND",376
"Calabresi",743,"France","Female","40",6,0,1,1,0,28280.8,1,2,"PLATINUM",744
"Lettiere",640,"Spain","Female","46",8,0,2,1,0,89043.19,0,1,"GOLD",429
"Chou",849,"Germany","Male","37",7,143452.74,2,1,1,17294.12,0,1,"PLATINUM",923
"Nnamutaezinwa",778,"France","Male","38",3,145018.49,2,1,1,126702.41,0,2,"SILVER",598
"Nnamutaezinwa",539,"Germany","Female","38",8,82407.51,1,1,0,13123.41,0,2,"SILVER",327
"Greece",489,"Germany","Male","28",1,79460.98,2,1,1,167973.63,0,3,"PLATINUM",232
"Yin",568,"Spain","Female","43",9,0,1,1,0,125870.79,1,1,"PLATINUM",805
"Larionova",618,"Spain","Male","38",5,126473.99,1,1,0,91972.49,0,1,"SILVER",696
"Golubev",710,"Germany","Female","30",10,133537.1,2,1,0,155593.74,0,1,"PLATINUM",464
"Norman",625,"France","Male","52",5,164978.01,1,1,1,67788.49,0,3,"PLATINUM",482
"Capon",682,"Spain","Male","46",7,128029.72,1,1,1,62615.35,0,3,"GOLD",586
"Chukwudi",727,"Spain","Male","43",2,97403.18,1,1,1,107415.02,1,1,"GOLD",612
"Fedorov",794,"France","Female","41",7,176845.41,3,1,0,166526.26,1,5,"GOLD",226
"Avdeeva",652,"Spain","Male","71",4,0,1,1,1,120107.1,0,3,"DIAMOND",305
"Reid",670,"Spain","Male","42",3,81589.04,1,1,0,188227.8,0,2,"GOLD",984
"Kennedy",460,"Germany","Female","40",6,119507.58,2,1,0,91560.63,1,5,"SILVER",766
"Chan",568,"Spain","Female","26",6,0,2,0,0,166495.2,0,5,"SILVER",634
"Wofford",643,"France","Male","30",5,94443.77,1,1,1,165614.4,0,2,"GOLD",606
"Mai",521,"France","Male","37",2,0,2,1,1,86372.24,0,5,"SILVER",942
"King",615,"France","Male","32",7,92199.84,1,1,1,2755.53,0,3,"SILVER",721
"T'ao",575,"Spain","Male","43",3,0,1,1,0,83594.51,0,5,"DIAMOND",600
"Hsu",717,"France","Female","41",3,135756.96,1,1,1,103706.41,0,2,"SILVER",801
"White",648,"France","Female","54",9,120633.42,1,0,0,5924.38,1,4,"SILVER",425
"Stephens",535,"Germany","Male","48",5,134542.73,1,1,1,58203.67,1,4,"SILVER",351
"Frolov",626,"Spain","Male","29",7,0,2,1,0,49361.84,0,5,"PLATINUM",429
"Lombardi",611,"Spain","Male","52",7,0,1,0,1,73585.18,1,2,"PLATINUM",380
"Munro",734,"Spain","Male","39",6,0,1,1,1,95135.27,0,1,"GOLD",593
"Hayward",709,"France","Male","49",4,154344.49,2,1,1,38794.57,0,2,"DIAMOND",330
"Fields",591,"France","Male","43",3,0,2,0,1,198926.36,0,3,"PLATINUM",785
"Onwumelu",664,"France","Male","43",9,189026.53,2,1,1,56099.86,0,3,"GOLD",616
"Suffolk",431,"France","Male","37",0,120764.08,1,1,1,117023.08,0,2,"SILVER",389
"Tsao",647,"Germany","Female","22",3,97975.82,2,0,1,62083,0,5,"DIAMOND",299
"Judd",578,"France","Male","32",4,0,2,1,1,141822.8,0,4,"DIAMOND",434
"Hamilton",555,"Germany","Male","41",10,113270.2,2,1,1,185387.14,0,1,"SILVER",398
"T'ang",775,"Spain","Male","30",4,0,2,0,1,57461.13,0,5,"PLATINUM",368
"Degtyarev",850,"Germany","Male","39",3,124548.99,2,1,1,120380.12,0,2,"DIAMOND",243
"Kang",625,"France","Male","43",8,201696.07,1,1,0,133020.9,1,4,"GOLD",538
"Hudson",645,"Spain","Female","37",7,0,2,1,0,13589.93,0,4,"DIAMOND",318
"Jibunoh",608,"Germany","Male","44",7,114203.47,1,1,1,77830.36,1,4,"PLATINUM",268
"Kinlaw",689,"Spain","Female","31",4,0,2,1,1,136610.02,0,5,"PLATINUM",840
"Chizuoke",652,"Germany","Male","50",8,125437.64,1,1,1,17160.94,1,1,"DIAMOND",765
"Lucciano",769,"France","Female","26",7,0,2,1,0,176843.53,0,1,"GOLD",667
"Omeokachie",611,"France","Female","43",8,64897.75,1,1,0,114996.33,0,4,"SILVER",692
"Gorbunova",489,"France","Male","38",8,0,2,0,1,196990.79,0,1,"DIAMOND",821
"Tikhonov",528,"Germany","Female","46",9,135555.66,1,1,0,133146.03,1,4,"PLATINUM",764
"Campa",632,"France","Male","44",3,107764.75,1,1,0,185667.72,0,4,"GOLD",582
"Mancini",429,"France","Female","27",6,117307.44,2,1,1,24020.49,0,4,"DIAMOND",985
"Donoghue",457,"France","Male","41",8,73700.12,3,1,1,185750.02,1,5,"DIAMOND",310
"Tuan",768,"Spain","Female","44",6,60603.4,1,1,1,178045.97,0,4,"DIAMOND",570
"Johnstone",715,"Spain","Female","35",4,40169.88,2,1,1,199857.47,0,5,"GOLD",484
"Romani",668,"Germany","Female","32",10,92041.87,1,1,1,43595.9,0,2,"SILVER",995
"Fuller",625,"Germany","Male","26",3,130483.95,1,1,0,122810.53,0,3,"PLATINUM",343
"Baxter",846,"France","Female","41",5,0,3,1,0,3440.47,1,1,"GOLD",994
"Pirozzi",661,"Spain","Female","42",3,0,2,1,0,35989.41,0,3,"PLATINUM",465
"Sung",571,"France","Female","23",10,151097.28,1,0,1,17163.75,0,2,"GOLD",841
"Rogers",582,"Spain","Female","46",8,67563.31,1,1,0,44506.09,1,1,"SILVER",454
"Mills",716,"France","Female","35",8,112808.18,1,0,1,17848.3,0,1,"SILVER",565
"Osonduagwuike",758,"France","Female","42",7,0,2,0,1,76209.56,0,2,"SILVER",430
"Byrne",725,"France","Male","66",4,86459.8,1,1,1,141476.56,0,5,"DIAMOND",279
"McIntyre",630,"France","Female","40",0,118633.08,1,0,1,60032.46,1,4,"DIAMOND",475
"Aitken",627,"France","Female","55",2,159441.27,1,1,0,100686.11,1,3,"DIAMOND",485
"Macintyre",653,"France","Female","27",9,0,2,1,0,96429.29,0,3,"GOLD",834
"Simpson",775,"Germany","Female","38",4,125212.65,2,1,1,15795.88,1,2,"GOLD",332
"Simpson",794,"Spain","Male","45",8,88656.37,2,1,0,116547.31,0,4,"DIAMOND",618
"Metcalfe",831,"France","Female","32",2,146033.62,1,1,0,191260.74,0,5,"SILVER",360
"Lees",561,"France","Male","29",9,120268.13,1,1,1,173870.39,0,5,"GOLD",566
"Zetticci",705,"Spain","Male","46",7,0,2,1,0,117273.35,0,2,"GOLD",946
"Dale",636,"Spain","Female","33",0,0,1,1,0,92277.47,1,2,"SILVER",618
"Byrne",487,"Germany","Female","46",4,135070.58,2,1,1,44244.49,1,2,"PLATINUM",400
"Praed",693,"France","Female","38",3,0,2,0,0,78133.48,1,5,"GOLD",724
"Laurens",517,"Spain","Female","29",5,0,2,1,0,103402.88,0,1,"PLATINUM",584
"Woods",684,"France","Female","27",9,122550.05,2,0,1,137835.82,0,2,"GOLD",807
"Bykov",620,"Spain","Female","43",2,0,2,1,0,20670.1,0,5,"GOLD",540
"Vorobyova",757,"France","Male","29",8,130306.49,1,1,0,77469.38,0,1,"GOLD",889
"Pirogova",739,"France","Female","27",6,0,1,1,1,57572.38,0,2,"SILVER",746
"Sturt",662,"Spain","Female","41",4,90350.77,1,1,0,75884.65,1,3,"PLATINUM",709
"Panicucci",359,"France","Female","44",6,128747.69,1,1,0,146955.71,1,1,"PLATINUM",981
"Cook",572,"Spain","Male","23",2,126873.52,1,0,1,67040.12,0,4,"GOLD",628
"Hardy",721,"France","Male","69",2,108424.19,1,1,1,178418.35,0,1,"PLATINUM",260
"Chu",707,"France","Male","32",9,0,2,0,0,30807.02,0,4,"DIAMOND",263
"Franklin",444,"France","Female","40",5,84350.07,1,1,0,143835.76,0,2,"GOLD",580
"P'eng",523,"France","Female","73",7,0,2,0,0,130883.9,1,5,"DIAMOND",566
"Chiang",685,"Germany","Female","30",4,84958.6,2,0,1,194343.72,0,2,"GOLD",987
"Grant",673,"Germany","Female","29",4,99097.36,1,1,1,9796.69,0,4,"PLATINUM",712
"Udobata",503,"Germany","Male","30",10,136622.55,2,0,0,47310.24,0,3,"PLATINUM",303
"Siciliani",485,"Germany","Female","30",5,156771.68,1,1,1,141148.21,0,5,"PLATINUM",644
"Evans",799,"Germany","Male","28",7,167658.33,2,1,1,111138.25,0,5,"DIAMOND",938
"Young",585,"Spain","Female","33",8,0,2,1,0,114182.07,0,4,"PLATINUM",779
"Mitchell",607,"Germany","Female","24",2,109483.54,2,0,1,127560.77,0,3,"GOLD",260
"Lucchese",521,"Germany","Female","40",9,134504.78,1,1,0,18082.06,0,5,"PLATINUM",257
"Hewitt",535,"France","Female","44",2,114427.86,1,1,1,136330.26,0,1,"PLATINUM",948
"K'ung",724,"Spain","Male","45",5,83888.54,1,0,1,34121.81,0,3,"SILVER",559
"Swaim",520,"Germany","Male","32",5,110029.77,1,1,0,56246.69,0,4,"DIAMOND",483
"Quinones",696,"Spain","Male","41",9,127523.75,1,0,1,191417.42,0,1,"DIAMOND",824
"Kennedy",657,"Germany","Male","30",1,139762.13,2,1,1,23317.88,0,5,"SILVER",731
"Endrizzi",603,"Spain","Female","42",8,91611.12,1,0,0,144675.3,1,3,"DIAMOND",416
"Ludowici",726,"France","Female","42",2,109471.79,1,0,1,175161.05,0,5,"GOLD",899
"Larson",591,"France","Female","39",4,150500.64,1,1,0,14928.8,0,1,"DIAMOND",733
"Chigolum",792,"Germany","Female","59",9,101609.77,1,0,0,161479.19,1,5,"DIAMOND",779
"Maclean",550,"France","Male","57",5,0,1,1,1,133501.94,0,5,"PLATINUM",484
"Lu",601,"France","Female","26",8,78892.23,1,1,1,23703.52,0,1,"SILVER",876
"Tuan",820,"France","Female","29",3,82344.84,1,0,1,115985.38,0,2,"GOLD",816
"Glover",667,"France","Male","48",2,0,1,1,0,43229.2,0,4,"SILVER",487
"Landman",573,"Spain","Female","44",4,0,1,1,1,94862.93,0,4,"PLATINUM",920
"Trevisano",755,"France","Male","62",1,127706.33,2,0,1,142377.69,0,2,"DIAMOND",673
"Longo",552,"France","Female","41",9,124349.34,1,1,0,135635.25,0,3,"DIAMOND",539
"K?",598,"Spain","Male","44",8,0,2,1,0,148487.9,0,4,"SILVER",909
"Muir",576,"Germany","Male","28",1,119336.29,2,0,1,58976.85,0,1,"GOLD",592
"Alexeyeva",670,"France","Female","31",9,0,1,0,1,76254.83,0,3,"DIAMOND",761
"Norman",504,"Germany","Male","56",9,104217.3,1,0,0,55857.48,1,4,"GOLD",359
"Simmons",778,"France","Female","65",7,0,1,1,1,77867.23,0,1,"DIAMOND",656
"Chukwualuka",558,"Germany","Male","39",10,144757.02,1,1,0,22878.16,1,4,"DIAMOND",254
"McCall",627,"Spain","Male","44",6,0,1,1,1,114469.55,0,5,"SILVER",258
"Moore",683,"France","Male","43",8,0,1,1,0,96754.8,0,1,"SILVER",309
"Ingram",556,"France","Female","43",6,0,3,0,0,125154.57,1,4,"GOLD",877
"Okeke",583,"France","Female","38",10,0,2,0,1,113597.64,0,4,"SILVER",691
"Shao",705,"France","Female","24",7,100169.51,1,1,0,121408.55,0,1,"SILVER",566
"Iloabuchi",637,"France","Male","33",2,145731.83,1,0,1,109219.43,0,4,"SILVER",721
"Nebechukwu",697,"Spain","Male","56",5,110802.03,1,1,1,50230.31,1,1,"DIAMOND",238
"Diribe",555,"Germany","Female","46",4,120392.99,1,1,0,177719.88,1,5,"SILVER",594
"Macgroarty",594,"Germany","Female","26",6,135067.52,2,0,0,131211.86,0,3,"PLATINUM",285
"Artemova",632,"Spain","Male","31",3,136556.44,1,1,0,82152.83,1,4,"SILVER",964
"McDonald",551,"France","Female","38",10,0,2,1,1,216.27,0,2,"SILVER",912
"Mazzanti",687,"France","Female","35",3,99587.43,1,1,1,1713.1,1,5,"SILVER",827
"Kelly",672,"France","Female","53",7,0,1,1,1,136910.18,0,3,"PLATINUM",311
"Davison",521,"Spain","Female","34",7,70731.07,1,1,1,20243.97,1,2,"GOLD",773
"Reilly",686,"Germany","Male","35",2,109342.82,2,0,1,86043.27,0,5,"PLATINUM",663
"Ojiofor",639,"Spain","Male","28",8,0,2,1,0,126561.07,0,5,"PLATINUM",249
"Shelton",850,"France","Male","66",4,0,2,0,1,64350.8,0,5,"SILVER",518
"Lange",465,"France","Male","25",2,78247.31,2,1,1,10472.31,0,2,"GOLD",945
"Trentini",817,"France","Female","55",10,117561.49,1,1,0,95941.55,1,3,"GOLD",226
"Gardiner",578,"France","Male","23",10,88980.32,1,1,1,125222.36,0,5,"PLATINUM",813
"Wan",611,"Spain","Male","34",4,0,2,1,0,170950.58,0,4,"DIAMOND",911
"Hsu",616,"Germany","Female","41",1,103560.57,1,1,0,236.45,1,3,"PLATINUM",289
"Hovell",517,"France","Male","37",5,113308.84,1,0,1,31517.16,0,2,"DIAMOND",728
"Zhirov",637,"Spain","Female","40",6,0,2,1,1,181610.6,0,3,"PLATINUM",230
"Espinosa",806,"France","Female","32",3,63763.49,1,1,0,156593.09,0,1,"GOLD",411
"Wallace",633,"France","Female","29",7,169988.35,1,1,0,4272,0,3,"DIAMOND",613
"Barbour",624,"Germany","Female","35",0,180303.24,2,1,0,163587.9,0,5,"DIAMOND",501
"Ozerova",691,"France","Male","52",3,0,1,1,0,175843.68,1,3,"SILVER",660
"Wright",819,"Germany","Female","49",1,120656.86,4,0,0,166164.3,1,3,"PLATINUM",991
"Ulyanova",568,"Germany","Female","31",1,61592.14,2,1,1,61796.64,0,5,"SILVER",927
"Steiner",806,"France","Male","48",4,164701.68,1,1,1,21439.49,0,2,"PLATINUM",851
"Akabueze",726,"Spain","Female","26",1,80780.16,1,1,1,19225.85,0,2,"SILVER",457
"Aleksandrova",552,"France","Male","36",8,0,2,0,0,132547.02,0,4,"SILVER",498
"Pinto",755,"Germany","Female","30",6,154221.37,2,0,1,62688.55,0,2,"GOLD",356
"Griffiths",634,"France","Male","26",8,0,1,1,0,21760.96,0,4,"DIAMOND",783
"McNeil",756,"France","Female","26",5,101641.14,2,0,1,154460.68,0,5,"GOLD",351
"Bruno",776,"France","Male","37",2,0,1,0,1,8065,0,3,"SILVER",846
"Johnson",649,"France","Female","45",5,92786.66,1,1,0,173365.9,1,1,"GOLD",919
"Okorie",595,"Germany","Male","32",8,131081.66,2,1,1,69428.79,0,1,"GOLD",972
"Moen",646,"France","Male","30",5,98014.74,1,1,1,12757.14,0,4,"PLATINUM",329
"McGuigan",592,"Spain","Male","38",8,0,2,1,0,180426.2,0,2,"GOLD",588
"Fancher",574,"France","Male","26",8,97460.1,1,1,1,43093.67,0,5,"PLATINUM",241
"Matthews",850,"France","Male","36",1,104077.19,2,0,1,68594,0,1,"DIAMOND",388
"Kaeppel",850,"Spain","Female","29",1,0,2,1,1,197996.65,0,3,"DIAMOND",534
"Shih",475,"France","Female","46",10,0,2,0,0,122953,1,3,"DIAMOND",800
"Yudina",642,"France","Female","39",4,0,1,1,1,76821.24,0,4,"PLATINUM",445
"Akabueze",710,"Spain","Female","51",4,93656.95,1,0,1,141400.51,1,5,"DIAMOND",933
"Kornilova",596,"Spain","Male","30",6,121345.88,4,1,0,41921.75,1,2,"SILVER",317
"Ozioma",609,"France","Female","39",8,141675.23,1,0,1,175664.25,0,4,"SILVER",440
"Su",797,"Spain","Female","31",8,0,2,1,0,117916.63,0,5,"DIAMOND",346
"Jamison",504,"Germany","Female","43",7,102365.49,1,1,0,194690.77,1,4,"SILVER",940
"Esposito",735,"Spain","Male","50",9,0,1,0,0,166677.35,1,2,"PLATINUM",886
"Hardiman",680,"Spain","Female","30",3,0,1,1,0,160131.58,0,4,"GOLD",916
"Woodard",449,"France","Male","52",6,0,2,0,1,123622,0,3,"PLATINUM",995
"Chienezie",685,"Germany","Male","57",7,101868.51,1,0,1,113483.96,0,4,"DIAMOND",911
"Okwuadigbo",569,"Spain","Male","38",8,0,2,0,0,79618.79,0,1,"DIAMOND",225
"Chineze",631,"France","Male","35",9,112392.45,2,1,0,24472.23,0,2,"DIAMOND",549
"O'Brien",595,"Germany","Female","25",7,106570.34,2,0,1,177025.79,0,3,"GOLD",506
"Tao",461,"France","Female","28",8,0,1,1,1,103349.74,0,4,"DIAMOND",861
"Mao",630,"France","Male","50",1,81947.76,1,0,1,63606.22,1,1,"GOLD",912
"Buckland",661,"France","Female","31",7,144162.3,2,1,1,14490.79,0,5,"PLATINUM",410
"Flannery",796,"Germany","Male","39",5,86350.87,2,0,0,105080.53,0,1,"GOLD",570
"Jamieson",710,"France","Male","47",5,158623.14,1,0,0,83499.89,1,2,"PLATINUM",720
"Swift",741,"France","Male","32",8,0,2,1,0,143598.7,0,4,"DIAMOND",870
"Doherty",606,"Germany","Male","48",4,132403.56,1,0,0,36091.91,1,2,"SILVER",239
"Payne",747,"France","Male","27",10,0,2,0,0,13007.89,0,2,"PLATINUM",970
"Genovese",549,"Germany","Female","43",3,134985.66,1,1,0,6101.41,0,3,"PLATINUM",903
"Lucciano",576,"France","Male","36",6,0,2,1,1,48314,0,2,"PLATINUM",847
"Rowley",528,"France","Male","37",6,103772.45,1,1,0,197111.99,0,3,"DIAMOND",391
"Hsing",535,"France","Male","33",2,133040.32,1,1,1,110299.78,0,4,"DIAMOND",322
"Vincent",575,"Spain","Female","37",0,0,2,0,0,30114.32,0,2,"GOLD",930
"Pearce",656,"France","Male","39",10,0,2,1,1,98894.64,0,1,"SILVER",259
"Lamb",440,"France","Male","42",2,0,2,1,0,49826.68,0,4,"PLATINUM",260
"Riley",539,"Spain","Male","38",8,71460.67,2,1,1,10074.05,0,3,"DIAMOND",750
"Honore",850,"Spain","Male","39",6,133214.13,1,0,1,20769.88,0,5,"PLATINUM",681
"Blackburn",646,"France","Female","37",7,96558.66,1,0,0,163427.18,0,3,"PLATINUM",493
"Endrizzi",744,"France","Male","54",6,93806.31,2,0,1,140068.77,0,2,"PLATINUM",306
"Duncan",710,"Spain","Female","36",8,0,2,0,0,83206.19,0,3,"SILVER",636
"Macarthur",544,"France","Female","64",3,124043.8,1,1,1,111402.97,1,1,"DIAMOND",642
"Gould",723,"Germany","Male","52",5,131694.97,1,0,1,92873.5,1,4,"SILVER",949
"Medvedev",507,"Spain","Female","29",6,0,2,0,1,94780.9,0,2,"DIAMOND",284
"Sholes",787,"France","Female","35",1,106266.8,1,1,1,16607.15,0,5,"DIAMOND",511
"Shaw",598,"Spain","Male","41",8,0,2,1,1,161954.43,0,3,"PLATINUM",779
"Ts'ai",796,"France","Male","51",6,0,2,0,1,194733.28,0,1,"PLATINUM",804
"Rolon",569,"Spain","Female","41",4,139840.36,1,1,1,163524.7,0,3,"SILVER",970
"Reid",711,"France","Male","34",8,0,2,0,0,48260.19,0,4,"PLATINUM",766
"Chinwendu",661,"Germany","Male","35",8,124098.54,1,1,0,86678.48,0,2,"SILVER",393
"Fu",415,"France","Male","32",5,145807.59,1,1,1,3064.65,0,2,"PLATINUM",833
"Mackenzie",578,"Spain","Male","23",8,0,2,1,0,112124.98,0,3,"DIAMOND",240
"Bligh",611,"France","Female","26",2,107508.93,2,1,1,120801.65,0,4,"DIAMOND",720
"Davidson",600,"France","Female","28",6,0,2,0,1,52193.23,0,3,"GOLD",910
"Lamble",661,"Germany","Female","32",1,145980.23,1,0,1,56636.28,0,3,"DIAMOND",883
"Moore",850,"France","Female","37",3,212778.2,1,0,1,69372.88,0,2,"SILVER",661
"Jose",573,"Germany","Female","47",4,152522.47,1,0,1,164038.07,1,4,"GOLD",273
"Trevisani",764,"Spain","Female","33",9,168964.77,1,0,1,118982.51,0,2,"GOLD",915
"Schofield",838,"France","Female","34",8,0,2,1,0,27472.07,0,2,"DIAMOND",257
"Stewart",821,"France","Female","28",8,0,1,1,1,36754.13,0,5,"GOLD",845
"Jamieson",607,"Spain","Female","36",4,98266.3,1,1,1,46416.36,0,1,"PLATINUM",933
"Howard",558,"France","Male","38",8,113000.92,1,1,1,152872.39,0,2,"GOLD",784
"Onwuamaeze",530,"Germany","Male","23",1,137060.88,2,1,1,165227.23,0,2,"GOLD",284
"D'Albertis",654,"Germany","Male","37",5,112146.12,1,1,0,75927.35,0,3,"GOLD",705
"Brooks",530,"France","Female","33",4,129307.32,1,1,1,172930.28,0,5,"PLATINUM",741
"Gordon",656,"Spain","Male","69",6,163975.09,1,1,1,36108.5,0,3,"SILVER",836
"Nwachukwu",520,"Spain","Male","43",7,0,2,1,1,36202.74,0,1,"PLATINUM",357
"Chinweike",602,"Germany","Female","42",6,158414.85,1,1,1,131886.46,0,5,"GOLD",807
"Simpkinson",701,"Germany","Female","48",1,92072.68,1,1,1,133992.36,0,3,"SILVER",340
"Walker",653,"Spain","Female","30",2,88243.29,2,1,1,96658.26,0,1,"PLATINUM",875
"Diribe",668,"Spain","Male","25",8,0,2,1,1,135112.09,0,2,"SILVER",765
"Trentini",652,"France","Male","48",4,59486.31,1,1,0,163944.18,1,5,"SILVER",751
"Conway",639,"Spain","Female","54",2,0,2,1,1,53843.71,0,2,"DIAMOND",522
"Maslow",730,"Spain","Female","52",7,0,2,0,1,122398.84,0,5,"SILVER",800
"Clark",780,"France","Male","34",1,0,1,1,1,64804.04,0,1,"PLATINUM",885
"L?",592,"France","Female","38",8,119278.01,2,0,1,19370.73,0,3,"GOLD",619
"Swadling",628,"France","Male","34",4,158741.43,2,1,1,126192.54,0,3,"PLATINUM",983
"Gallo",658,"France","Female","40",7,140596.95,1,0,1,135459.02,1,2,"DIAMOND",411
"Onyemachukwu",850,"Spain","Female","29",10,0,2,1,1,94815.04,0,1,"GOLD",251
"Samoylova",515,"Germany","Male","37",2,90432.92,1,1,1,188366.04,1,1,"SILVER",362
"Dickson",571,"France","Female","35",1,104783.81,2,0,1,178512.52,0,2,"GOLD",350
"He",760,"Germany","Male","42",0,77992.97,2,1,1,97906.38,0,5,"GOLD",969
"P'an",720,"Germany","Female","43",10,110822.9,1,0,0,72861.94,0,4,"SILVER",987
"Leak",632,"Germany","Male","42",4,119624.6,2,1,1,195978.86,0,4,"PLATINUM",959
"Artemieva",694,"Germany","Male","31",6,109052.59,2,1,1,19448.93,1,4,"DIAMOND",991
"Frost",559,"Spain","Female","40",5,139129.44,1,0,1,32635.54,0,4,"DIAMOND",601
"Warner",773,"Germany","Female","42",8,152324.66,2,1,0,171733.22,0,4,"GOLD",628
"Kennedy",581,"France","Male","38",1,0,2,1,0,46176.22,0,2,"PLATINUM",950
"Ifeatu",524,"Germany","Female","37",9,127480.58,2,1,0,179634.69,0,2,"SILVER",512
"Evans",713,"France","Male","53",6,115029.4,1,0,0,191521.32,1,2,"PLATINUM",338
"Chu",676,"France","Male","40",8,114005.78,1,1,1,67998.45,0,3,"PLATINUM",324
"Hsueh",651,"Germany","Female","42",1,116646.76,1,1,0,44731.8,1,2,"DIAMOND",658
"Shih",717,"Spain","Female","49",1,110864.38,2,1,1,124532.9,1,1,"PLATINUM",845
"Fan",594,"France","Male","23",5,156267.59,1,1,0,160968.44,0,2,"GOLD",871
"Whiddon",716,"France","Female","44",3,109528.28,1,1,0,27341.63,1,1,"DIAMOND",771
"Onyekachukwu",668,"France","Female","35",6,102482.76,1,1,1,53994.64,0,3,"SILVER",421
"Ermakova",678,"Germany","Male","23",10,115563.71,1,1,1,91633.53,0,3,"DIAMOND",297
"Marino",545,"France","Male","23",2,0,2,1,0,189613.12,0,5,"SILVER",322
"Niu",613,"France","Female","40",9,95624.36,2,1,1,60706.33,0,5,"SILVER",573
"Manna",687,"Spain","Female","21",8,0,2,1,1,154767.34,0,5,"PLATINUM",449
"Onyemere",715,"France","Male","28",7,160376.61,1,0,0,196853.11,0,5,"DIAMOND",987
"Archer",618,"Germany","Male","41",8,37702.79,1,1,1,195775.48,0,5,"GOLD",615
"Mitchell",721,"France","Female","35",6,118273.83,1,0,1,3086.89,0,3,"GOLD",804
"Everingham",445,"Germany","Female","34",7,131082.17,2,1,1,70618,0,4,"PLATINUM",802
"Huie",690,"France","Male","38",1,94456,2,0,1,55034.02,0,3,"GOLD",240
"Crowther",709,"France","Female","43",8,0,2,0,0,168035.62,1,4,"GOLD",863
"Swift",671,"Spain","Female","42",3,0,2,1,1,128449.33,0,2,"DIAMOND",931
"Skelton",538,"France","Male","33",6,93791.38,1,1,1,199249.29,0,5,"PLATINUM",718
"White",735,"France","Female","33",4,0,2,1,0,149474.69,0,2,"DIAMOND",999
"Giordano",592,"France","Female","37",7,0,2,1,1,126726.33,0,5,"SILVER",241
"Bateson",747,"France","Male","61",7,155973.13,1,0,1,147554.26,0,5,"GOLD",527
"Hu",675,"Germany","Male","36",7,89409.95,1,1,1,149399.7,0,4,"GOLD",844
"Day",632,"Spain","Female","39",5,97854.37,2,1,0,93536.38,0,4,"DIAMOND",271
"Beneventi",621,"France","Male","39",6,0,2,1,1,58883.91,0,1,"SILVER",502
"Elizabeth",521,"Spain","Male","29",3,60280.62,1,1,0,154271.41,0,3,"DIAMOND",700
"Atkins",591,"Spain","Male","36",7,135216.8,1,1,1,122022.89,0,1,"GOLD",710
"Serrano",706,"Germany","Female","28",6,124923.35,2,1,1,50299.14,0,3,"DIAMOND",536
"Willis",677,"France","Male","38",4,0,2,1,0,187800.63,0,4,"GOLD",664
"Stevenson",769,"Germany","Male","27",7,188614.07,1,1,0,171344.09,0,1,"GOLD",883
"Ch'ien",771,"France","Male","32",5,62321.62,1,1,1,40920.59,0,5,"DIAMOND",626
"Cunningham",601,"Germany","Female","48",8,120782.7,1,1,0,63940.68,1,2,"DIAMOND",587
"Stephens",670,"France","Female","42",1,115961.58,2,0,1,29483.87,0,4,"DIAMOND",795
"Gordon",517,"France","Male","28",2,115062.61,1,1,0,179056.23,0,2,"GOLD",910
"Bevan",834,"France","Female","49",8,160602.25,2,1,0,129273.94,0,2,"GOLD",771
"Mashman",571,"France","Female","42",4,108825.34,3,1,0,55558.51,1,1,"DIAMOND",866
"Tu",576,"Germany","Female","36",8,166287.85,1,1,1,23305.85,0,5,"PLATINUM",859
"Milanesi",718,"France","Female","31",1,152663.77,1,0,1,17128.64,0,4,"GOLD",818
"Romano",636,"Germany","Female","31",9,80844.69,2,1,1,74641.9,0,4,"SILVER",379
"Goliwe",566,"Germany","Female","40",2,97001.36,2,1,0,154486.01,0,1,"DIAMOND",719
